,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,New_Stability,Replating
0,3,1,4,12,0.1,0.6,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878891,"['[[-156  187]', ' [  76  137]', ' [  23  183]]']",['[[-63 162]]'],"['[[  76  137]', ' [  23  183]', ' [ -63  162]', ' [-183  145]]']",1.0,0.0,0.9
1,3,1,4,24,0.1,0.6,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878891,"['[[-156  187]', ' [  76  137]', ' [  23  183]]']",['[[-63 162]]'],"['[[  76  137]', ' [  23  183]', ' [ -63  162]', ' [-183  145]]']",1.0,0.0,0.9
2,3,1,4,36,0.1,0.6,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878891,"['[[-156  187]', ' [  76  137]', ' [  23  183]]']",['[[-63 162]]'],"['[[  76  137]', ' [  23  183]', ' [ -63  162]', ' [-183  145]]']",1.0,0.0,0.9
3,3,1,4,46,0.1,0.6,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878891,"['[[-156  187]', ' [  76  137]', ' [  23  183]]']",['[[-63 162]]'],"['[[  76  137]', ' [  23  183]', ' [ -63  162]', ' [-183  145]]']",1.0,0.0,0.9
4,3,1,4,12,0.3,0.6,1.4922151616673214,0.0,1.2698531701696136,1.6901158327878891,"['[[-156  187]', ' [  76  137]', ' [  23  183]]']",['[[-63 162]]'],"['[[  76  137]', ' [  23  183]', ' [ -63  162]', ' [-183  145]]']",1.0,0.0,0.9
5,9,7,9,12,0.1,0.5,1.0883503848505385,0.8525447189762352,0.9514794494075473,1.1744632927672185,"['[[  65 -138]', ' [ 127   44]', ' [  31   86]', ' [   6  158]', ' [-134 -170]', ' [  29 -100]', ' [-173   87]', ' [ -17   80]', ' [ -39 -193]]']","['[[ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']","['[[ -17   80]', ' [ -39 -193]', ' [ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']",1.0,0.0,0.9
6,9,7,9,24,0.1,0.5,1.0883503848505385,0.8525447189762352,0.9514794494075473,1.1744632927672185,"['[[  65 -138]', ' [ 127   44]', ' [  31   86]', ' [   6  158]', ' [-134 -170]', ' [  29 -100]', ' [-173   87]', ' [ -17   80]', ' [ -39 -193]]']","['[[ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']","['[[ -17   80]', ' [ -39 -193]', ' [ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']",1.0,0.0,0.9
7,9,7,9,36,0.1,0.5,1.0883503848505385,0.8525447189762352,0.9514794494075473,1.1744632927672185,"['[[  65 -138]', ' [ 127   44]', ' [  31   86]', ' [   6  158]', ' [-134 -170]', ' [  29 -100]', ' [-173   87]', ' [ -17   80]', ' [ -39 -193]]']","['[[ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']","['[[ -17   80]', ' [ -39 -193]', ' [ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']",1.0,0.0,0.9
8,9,7,9,46,0.1,0.5,1.0883503848505385,0.8525447189762352,0.9514794494075473,1.1744632927672185,"['[[  65 -138]', ' [ 127   44]', ' [  31   86]', ' [   6  158]', ' [-134 -170]', ' [  29 -100]', ' [-173   87]', ' [ -17   80]', ' [ -39 -193]]']","['[[ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']","['[[ -17   80]', ' [ -39 -193]', ' [ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']",1.0,0.0,0.9
9,9,7,9,12,0.1,0.6,1.0883503848505385,0.8525447189762352,0.9514794494075473,1.1744632927672185,"['[[  65 -138]', ' [ 127   44]', ' [  31   86]', ' [   6  158]', ' [-134 -170]', ' [  29 -100]', ' [-173   87]', ' [ -17   80]', ' [ -39 -193]]']","['[[ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']","['[[ -17   80]', ' [ -39 -193]', ' [ -17  102]', ' [  10   47]', ' [  42   50]', ' [   1   89]', ' [-160  163]', ' [ 179  196]', ' [  88  -64]]']",1.0,0.0,0.9
